iLoad, totalDisp, Reaction-1, Reaction-2, Reaction-3
1,  1.000000e-05,  1.378941e+00, -1.378941e+00,  1.824930e-10
2,  2.000000e-05,  2.757882e+00, -2.757882e+00,  3.755294e-10
3,  3.000000e-05,  4.136819e+00, -4.136819e+00,  8.701331e-08
4,  4.000000e-05,  5.515752e+00, -5.515752e+00,  2.506315e-07
5,  5.000000e-05,  6.894679e+00, -6.894679e+00,  5.355749e-07
6,  6.000000e-05,  8.273596e+00, -8.273597e+00,  9.658190e-07
7,  7.000000e-05,  9.652503e+00, -9.652504e+00,  1.560474e-06
8,  8.000000e-05,  1.103140e+01, -1.103140e+01, -1.523087e-15
9,  9.000000e-05,  1.241028e+01, -1.241028e+01,  1.526557e-15
10,  1.000000e-04,  1.378914e+01, -1.378914e+01,  5.238865e-16
11,  1.100000e-04,  1.516798e+01, -1.516798e+01,  4.992534e-15
12,  1.200000e-04,  1.654681e+01, -1.654681e+01,  3.684553e-15
13,  1.300000e-04,  1.792561e+01, -1.792561e+01, -1.665335e-15
14,  1.400000e-04,  1.930438e+01, -1.930438e+01, -3.191891e-16
15,  1.500000e-04,  2.068313e+01, -2.068313e+01, -3.858025e-15
16,  1.600000e-04,  2.206185e+01, -2.206185e+01,  1.491862e-15
17,  1.700000e-04,  2.344054e+01, -2.344054e+01,  7.438494e-15
18,  1.800000e-04,  2.481920e+01, -2.481920e+01,  1.139366e-14
19,  1.900000e-04,  2.619782e+01, -2.619782e+01,  7.709111e-15
20,  2.000000e-04,  2.757640e+01, -2.757640e+01,  9.645063e-15
21,  2.100000e-04,  2.895495e+01, -2.895495e+01,  2.211425e-14
22,  2.200000e-04,  3.033346e+01, -3.033346e+01,  2.924050e-14
23,  2.300000e-04,  3.171192e+01, -3.171192e+01,  1.253164e-14
24,  2.400000e-04,  3.309034e+01, -3.309034e+01,  3.728962e-14
25,  2.500000e-04,  3.446871e+01, -3.446871e+01,  2.194078e-14
26,  2.600000e-04,  3.584703e+01, -3.584703e+01,  3.613776e-14
27,  2.700000e-04,  3.722530e+01, -3.722530e+01,  5.662137e-14
28,  2.800000e-04,  3.860352e+01, -3.860352e+01,  6.722400e-14
29,  2.900000e-04,  3.998168e+01, -3.998168e+01,  7.840950e-14
30,  3.000000e-04,  4.135978e+01, -4.135978e+01,  9.851842e-14
31,  3.100000e-04,  4.273783e+01, -4.273783e+01,  1.067757e-13
32,  3.200000e-04,  4.411582e+01, -4.411582e+01,  1.225686e-13
33,  3.300000e-04,  4.549374e+01, -4.549374e+01,  1.474793e-13
34,  3.400000e-04,  4.687160e+01, -4.687160e+01,  1.676020e-13
35,  3.500000e-04,  4.824939e+01, -4.824939e+01,  2.122330e-13
36,  3.600000e-04,  4.962711e+01, -4.962711e+01,  2.387257e-13
37,  3.700000e-04,  5.100476e+01, -5.100476e+01,  2.583489e-13
38,  3.800000e-04,  5.238234e+01, -5.238234e+01,  3.108208e-13
39,  3.900000e-04,  5.375984e+01, -5.375984e+01,  3.593237e-13
40,  4.000000e-04,  5.513727e+01, -5.513727e+01,  3.920753e-13
41,  4.100000e-04,  5.651462e+01, -5.651462e+01,  4.402589e-13
42,  4.200000e-04,  5.789188e+01, -5.789188e+01,  5.306033e-13
43,  4.300000e-04,  5.926907e+01, -5.926907e+01,  6.217526e-13
44,  4.400000e-04,  6.064616e+01, -6.064616e+01,  6.754874e-13
45,  4.500000e-04,  6.202317e+01, -6.202317e+01,  7.591011e-13
46,  4.600000e-04,  6.340010e+01, -6.340010e+01,  7.995826e-13
47,  4.700000e-04,  6.477693e+01, -6.477693e+01,  8.827661e-13
48,  4.800000e-04,  6.615366e+01, -6.615366e+01,  9.901524e-13
49,  4.900000e-04,  6.753030e+01, -6.753030e+01,  1.108752e-12
50,  5.000000e-04,  6.890685e+01, -6.890685e+01,  1.223549e-12
51,  5.100000e-04,  7.028330e+01, -7.028330e+01,  1.352141e-12
52,  5.200000e-04,  7.165964e+01, -7.165964e+01,  1.472045e-12
53,  5.300000e-04,  7.303588e+01, -7.303588e+01,  1.603162e-12
54,  5.400000e-04,  7.441202e+01, -7.441202e+01,  1.766698e-12
55,  5.500000e-04,  7.578805e+01, -7.578805e+01,  1.865175e-12
56,  5.600000e-04,  7.716397e+01, -7.716397e+01,  2.083111e-12
57,  5.700000e-04,  7.853977e+01, -7.853977e+01,  2.261635e-12
58,  5.800000e-04,  7.991547e+01, -7.991547e+01,  2.473799e-12
59,  5.900000e-04,  8.129105e+01, -8.129105e+01,  2.662232e-12
60,  6.000000e-04,  8.266651e+01, -8.266651e+01,  2.881251e-12
61,  6.100000e-04,  8.404186e+01, -8.404186e+01,  3.075040e-12
62,  6.200000e-04,  8.541708e+01, -8.541708e+01,  3.325007e-12
63,  6.300000e-04,  8.679218e+01, -8.679218e+01,  3.583162e-12
64,  6.400000e-04,  8.816715e+01, -8.816715e+01,  3.847089e-12
65,  6.500000e-04,  8.954200e+01, -8.954200e+01,  4.136247e-12
66,  6.600000e-04,  9.091671e+01, -9.091671e+01,  4.402562e-12
67,  6.700000e-04,  9.229130e+01, -9.229130e+01,  4.729106e-12
68,  6.800000e-04,  9.366575e+01, -9.366575e+01,  5.032613e-12
69,  6.900000e-04,  9.504007e+01, -9.504007e+01,  5.379419e-12
70,  7.000000e-04,  9.641425e+01, -9.641425e+01,  5.715400e-12
71,  7.100000e-04,  9.778829e+01, -9.778829e+01,  6.057904e-12
72,  7.200000e-04,  9.916218e+01, -9.916218e+01,  6.453865e-12
73,  7.300000e-04,  1.005359e+02, -1.005359e+02,  6.869560e-12
74,  7.400000e-04,  1.019095e+02, -1.019095e+02,  7.280176e-12
75,  7.500000e-04,  1.032830e+02, -1.032830e+02,  7.722545e-12
76,  7.600000e-04,  1.046563e+02, -1.046563e+02,  8.157086e-12
77,  7.700000e-04,  1.060295e+02, -1.060295e+02,  8.635509e-12
78,  7.800000e-04,  1.074025e+02, -1.074025e+02,  9.161200e-12
79,  7.900000e-04,  1.087753e+02, -1.087753e+02,  9.663381e-12
80,  8.000000e-04,  1.101480e+02, -1.101480e+02,  1.021400e-11
81,  8.100000e-04,  1.115206e+02, -1.115206e+02,  1.078218e-11
82,  8.200000e-04,  1.128929e+02, -1.128929e+02,  1.135603e-11
83,  8.300000e-04,  1.142652e+02, -1.142652e+02,  1.190803e-11
84,  8.400000e-04,  1.156372e+02, -1.156372e+02,  1.248784e-11
85,  8.500000e-04,  1.170091e+02, -1.170091e+02,  1.324299e-11
86,  8.600000e-04,  1.183808e+02, -1.183808e+02,  1.384284e-11
87,  8.700000e-04,  1.197523e+02, -1.197523e+02,  1.451744e-11
88,  8.800000e-04,  1.211237e+02, -1.211237e+02,  1.525696e-11
89,  8.900000e-04,  1.224949e+02, -1.224949e+02,  1.597136e-11
90,  9.000000e-04,  1.238659e+02, -1.238659e+02,  1.677564e-11
91,  9.100000e-04,  1.252367e+02, -1.252367e+02,  1.757883e-11
92,  9.200000e-04,  1.266073e+02, -1.266073e+02,  1.832304e-11
93,  9.300000e-04,  1.279778e+02, -1.279778e+02,  1.918971e-11
94,  9.400000e-04,  1.293481e+02, -1.293481e+02,  1.997932e-11
95,  9.500000e-04,  1.307182e+02, -1.307182e+02,  2.091888e-11
96,  9.600000e-04,  1.320881e+02, -1.320881e+02,  2.188649e-11
97,  9.700000e-04,  1.334578e+02, -1.334578e+02,  2.278910e-11
98,  9.800000e-04,  1.348273e+02, -1.348273e+02,  2.370526e-11
99,  9.900000e-04,  1.361966e+02, -1.361966e+02,  2.473449e-11
100,  1.000000e-03,  1.375657e+02, -1.375657e+02,  2.581141e-11
101,  1.010000e-03,  1.389346e+02, -1.389346e+02,  2.683065e-11
102,  1.020000e-03,  1.403034e+02, -1.403034e+02,  2.794676e-11
103,  1.030000e-03,  1.416719e+02, -1.416719e+02,  2.903749e-11
104,  1.040000e-03,  1.430402e+02, -1.430402e+02,  3.019834e-11
105,  1.050000e-03,  1.444083e+02, -1.444083e+02,  3.148870e-11
106,  1.060000e-03,  1.457762e+02, -1.457762e+02,  3.258654e-11
107,  1.070000e-03,  1.471438e+02, -1.471438e+02,  3.390316e-11
108,  1.080000e-03,  1.485113e+02, -1.485113e+02,  3.515588e-11
109,  1.090000e-03,  1.498785e+02, -1.498785e+02,  3.646172e-11
110,  1.100000e-03,  1.512456e+02, -1.512456e+02,  3.785211e-11
111,  1.110000e-03,  1.526124e+02, -1.526124e+02,  3.914996e-11
112,  1.120000e-03,  1.539790e+02, -1.539790e+02,  4.063533e-11
113,  1.130000e-03,  1.553453e+02, -1.553453e+02,  4.196926e-11
114,  1.140000e-03,  1.567115e+02, -1.567115e+02,  4.345546e-11
115,  1.150000e-03,  1.580774e+02, -1.580774e+02,  4.506506e-11
116,  1.160000e-03,  1.594430e+02, -1.594430e+02,  4.666068e-11
117,  1.170000e-03,  1.608085e+02, -1.608085e+02,  4.818490e-11
118,  1.180000e-03,  1.621737e+02, -1.621737e+02,  4.984674e-11
119,  1.190000e-03,  1.635387e+02, -1.635387e+02,  5.156187e-11
120,  1.200000e-03,  1.649034e+02, -1.649034e+02,  5.321499e-11
121,  1.210000e-03,  1.662679e+02, -1.662679e+02,  5.491330e-11
122,  1.220000e-03,  1.676321e+02, -1.676321e+02,  5.676321e-11
123,  1.230000e-03,  1.689961e+02, -1.689961e+02,  5.851680e-11
124,  1.240000e-03,  1.703599e+02, -1.703599e+02,  6.049211e-11
125,  1.250000e-03,  1.717234e+02, -1.717234e+02,  6.231471e-11
126,  1.260000e-03,  1.730867e+02, -1.730867e+02,  6.429690e-11
127,  1.270000e-03,  1.744497e+02, -1.744497e+02,  6.632106e-11
128,  1.280000e-03,  1.758124e+02, -1.758124e+02,  6.833945e-11
129,  1.290000e-03,  1.771749e+02, -1.771749e+02,  7.046125e-11
130,  1.300000e-03,  1.785372e+02, -1.785372e+02,  7.248818e-11
131,  1.310000e-03,  1.798991e+02, -1.798991e+02,  7.473666e-11
132,  1.320000e-03,  1.812609e+02, -1.812609e+02,  7.685197e-11
133,  1.330000e-03,  1.826223e+02, -1.826223e+02,  7.912526e-11
134,  1.340000e-03,  1.839835e+02, -1.839835e+02,  8.145240e-11
135,  1.350000e-03,  1.853444e+02, -1.853444e+02,  8.374323e-11
136,  1.360000e-03,  1.867050e+02, -1.867050e+02,  8.612216e-11
137,  1.370000e-03,  1.880654e+02, -1.880654e+02,  8.862561e-11
138,  1.380000e-03,  1.894255e+02, -1.894255e+02,  9.107426e-11
139,  1.390000e-03,  1.907853e+02, -1.907853e+02,  9.359247e-11
140,  1.400000e-03,  1.921449e+02, -1.921449e+02,  9.615708e-11
141,  1.410000e-03,  1.935041e+02, -1.935041e+02,  9.880463e-11
142,  1.420000e-03,  1.948631e+02, -1.948631e+02,  1.014555e-10
143,  1.430000e-03,  1.962218e+02, -1.962218e+02,  1.041853e-10
144,  1.440000e-03,  1.975802e+02, -1.975802e+02,  1.069869e-10
145,  1.450000e-03,  1.989383e+02, -1.989383e+02,  1.097846e-10
146,  1.460000e-03,  2.002961e+02, -2.002961e+02,  1.126760e-10
147,  1.470000e-03,  2.016536e+02, -2.016536e+02,  1.155059e-10
148,  1.480000e-03,  2.030109e+02, -2.030109e+02,  1.184480e-10
149,  1.490000e-03,  2.043678e+02, -2.043678e+02,  1.214381e-10
150,  1.500000e-03,  2.057244e+02, -2.057244e+02,  1.245725e-10
151,  1.510000e-03,  2.070808e+02, -2.070808e+02,  1.277001e-10
152,  1.520000e-03,  2.084368e+02, -2.084368e+02,  1.309261e-10
153,  1.530000e-03,  2.097925e+02, -2.097925e+02,  1.341309e-10
154,  1.540000e-03,  2.111479e+02, -2.111479e+02,  1.373940e-10
155,  1.550000e-03,  2.125030e+02, -2.125030e+02,  1.408359e-10
156,  1.560000e-03,  2.138578e+02, -2.138578e+02,  1.441083e-10
157,  1.570000e-03,  2.152123e+02, -2.152123e+02,  1.476125e-10
158,  1.580000e-03,  2.165665e+02, -2.165665e+02,  1.510096e-10
159,  1.590000e-03,  2.179203e+02, -2.179203e+02,  1.546666e-10
160,  1.600000e-03,  2.192738e+02, -2.192738e+02,  1.582586e-10
161,  1.610000e-03,  2.206270e+02, -2.206270e+02,  1.617642e-10
162,  1.620000e-03,  2.219799e+02, -2.219799e+02,  1.655749e-10
163,  1.630000e-03,  2.233325e+02, -2.233325e+02,  1.693494e-10
164,  1.640000e-03,  2.246847e+02, -2.246847e+02,  1.732805e-10
165,  1.650000e-03,  2.260366e+02, -2.260366e+02,  1.771893e-10
166,  1.660000e-03,  2.273881e+02, -2.273881e+02,  1.812477e-10
167,  1.670000e-03,  2.287394e+02, -2.287394e+02,  1.852271e-10
168,  1.680000e-03,  2.300903e+02, -2.300903e+02,  1.890834e-10
169,  1.690000e-03,  2.314408e+02, -2.314408e+02,  1.934398e-10
170,  1.700000e-03,  2.327910e+02, -2.327910e+02,  1.975047e-10
171,  1.710000e-03,  2.341409e+02, -2.341409e+02,  2.017042e-10
172,  1.720000e-03,  2.354904e+02, -2.354904e+02,  2.060738e-10
173,  1.730000e-03,  2.368396e+02, -2.368396e+02,  2.105062e-10
174,  1.740000e-03,  2.381884e+02, -2.381884e+02,  2.150361e-10
175,  1.750000e-03,  2.395369e+02, -2.395369e+02,  2.196068e-10
176,  1.760000e-03,  2.408850e+02, -2.408850e+02,  2.240296e-10
177,  1.770000e-03,  2.422328e+02, -2.422328e+02,  2.287086e-10
178,  1.780000e-03,  2.435802e+02, -2.435802e+02,  2.334666e-10
179,  1.790000e-03,  2.449273e+02, -2.449273e+02,  2.382430e-10
180,  1.800000e-03,  2.462740e+02, -2.462740e+02,  2.430811e-10
181,  1.810000e-03,  2.476203e+02, -2.476203e+02,  2.479341e-10
182,  1.820000e-03,  2.489662e+02, -2.489662e+02,  2.529162e-10
183,  1.830000e-03,  2.503118e+02, -2.503118e+02,  2.580634e-10
184,  1.840000e-03,  2.516571e+02, -2.516571e+02,  2.630722e-10
185,  1.850000e-03,  2.530019e+02, -2.530019e+02,  2.682425e-10
186,  1.860000e-03,  2.543464e+02, -2.543464e+02,  2.735253e-10
187,  1.870000e-03,  2.556905e+02, -2.556905e+02,  2.788050e-10
188,  1.880000e-03,  2.570342e+02, -2.570342e+02,  2.841695e-10
189,  1.890000e-03,  2.583776e+02, -2.583776e+02,  2.896075e-10
190,  1.900000e-03,  2.597205e+02, -2.597205e+02,  2.951777e-10
191,  1.910000e-03,  2.610631e+02, -2.610631e+02,  3.006742e-10
192,  1.920000e-03,  2.624053e+02, -2.624053e+02,  3.064530e-10
193,  1.930000e-03,  2.637471e+02, -2.637471e+02,  3.121501e-10
194,  1.940000e-03,  2.650885e+02, -2.650885e+02,  3.178855e-10
195,  1.950000e-03,  2.664296e+02, -2.664296e+02,  3.238254e-10
196,  1.960000e-03,  2.677702e+02, -2.677702e+02,  3.296997e-10
197,  1.970000e-03,  2.691104e+02, -2.691104e+02,  3.358092e-10
198,  1.980000e-03,  2.704503e+02, -2.704503e+02,  3.418548e-10
199,  1.990000e-03,  2.717897e+02, -2.717897e+02,  3.479963e-10
200,  2.000000e-03,  2.731287e+02, -2.731287e+02,  3.541487e-10
201,  2.010000e-03,  2.744673e+02, -2.744673e+02,  3.605146e-10
202,  2.020000e-03,  2.758056e+02, -2.758056e+02,  3.668819e-10
203,  2.030000e-03,  2.771434e+02, -2.771434e+02,  3.733875e-10
204,  2.040000e-03,  2.784808e+02, -2.784808e+02,  3.798858e-10
205,  2.050000e-03,  2.798178e+02, -2.798178e+02,  3.865025e-10
206,  2.060000e-03,  2.811543e+02, -2.811543e+02,  3.932017e-10
207,  2.070000e-03,  2.824905e+02, -2.824905e+02,  4.001260e-10
208,  2.080000e-03,  2.838262e+02, -2.838262e+02,  4.068057e-10
209,  2.090000e-03,  2.851615e+02, -2.851615e+02,  4.138002e-10
210,  2.100000e-03,  2.864964e+02, -2.864964e+02,  4.207887e-10
211,  2.110000e-03,  2.878309e+02, -2.878309e+02,  4.277280e-10
212,  2.120000e-03,  2.891649e+02, -2.891649e+02,  4.350309e-10
213,  2.130000e-03,  2.904985e+02, -2.904985e+02,  4.422969e-10
214,  2.140000e-03,  2.918317e+02, -2.918317e+02,  4.494892e-10
215,  2.150000e-03,  2.931644e+02, -2.931644e+02,  4.568901e-10
216,  2.160000e-03,  2.944967e+02, -2.944967e+02,  4.643292e-10
217,  2.170000e-03,  2.958286e+02, -2.958286e+02,  4.720789e-10
218,  2.180000e-03,  2.971600e+02, -2.971600e+02,  4.795824e-10
219,  2.190000e-03,  2.984910e+02, -2.984910e+02,  4.872868e-10
220,  2.200000e-03,  2.998215e+02, -2.998215e+02,  4.950209e-10
221,  2.210000e-03,  3.011516e+02, -3.011516e+02,  5.029845e-10
222,  2.220000e-03,  3.024812e+02, -3.024812e+02,  5.109653e-10
223,  2.230000e-03,  3.038104e+02, -3.038104e+02,  5.190079e-10
224,  2.240000e-03,  3.051391e+02, -3.051391e+02,  5.273004e-10
225,  2.250000e-03,  3.064674e+02, -3.064674e+02,  5.354541e-10
226,  2.260000e-03,  3.077952e+02, -3.077952e+02,  5.437204e-10
227,  2.270000e-03,  3.091226e+02, -3.091226e+02,  5.520397e-10
228,  2.280000e-03,  3.104495e+02, -3.104495e+02,  5.606446e-10
229,  2.290000e-03,  3.117759e+02, -3.117759e+02,  5.690787e-10
230,  2.300000e-03,  3.131019e+02, -3.131019e+02,  5.778278e-10
231,  2.310000e-03,  3.144274e+02, -3.144274e+02,  5.866001e-10
232,  2.320000e-03,  3.157524e+02, -3.157524e+02,  5.952461e-10
233,  2.330000e-03,  3.170770e+02, -3.170770e+02,  6.042535e-10
234,  2.340000e-03,  3.184010e+02, -3.184010e+02,  6.133436e-10
235,  2.350000e-03,  3.197246e+02, -3.197246e+02,  6.223888e-10
236,  2.360000e-03,  3.210478e+02, -3.210478e+02,  6.315442e-10
237,  2.370000e-03,  3.223704e+02, -3.223704e+02,  6.409416e-10
238,  2.380000e-03,  3.236926e+02, -3.236926e+02,  6.502564e-10
239,  2.390000e-03,  3.250142e+02, -3.250142e+02,  6.596002e-10
240,  2.400000e-03,  3.263354e+02, -3.263354e+02,  6.691785e-10
241,  2.410000e-03,  3.276561e+02, -3.276561e+02,  6.787689e-10
242,  2.420000e-03,  3.289763e+02, -3.289763e+02,  6.884802e-10
243,  2.430000e-03,  3.302960e+02, -3.302960e+02,  6.983348e-10
244,  2.440000e-03,  3.316152e+02, -3.316152e+02,  7.081670e-10
245,  2.450000e-03,  3.329340e+02, -3.329340e+02,  7.183271e-10
246,  2.460000e-03,  3.342522e+02, -3.342522e+02,  7.283937e-10
247,  2.470000e-03,  3.355699e+02, -3.355699e+02,  7.385406e-10
248,  2.480000e-03,  3.368871e+02, -3.368871e+02,  7.487899e-10
249,  2.490000e-03,  3.382038e+02, -3.382038e+02,  7.591350e-10
250,  2.500000e-03,  3.395200e+02, -3.395200e+02,  7.696516e-10
251,  2.510000e-03,  3.408357e+02, -3.408357e+02,  7.802350e-10
252,  2.520000e-03,  3.421508e+02, -3.421508e+02,  7.908284e-10
253,  2.530000e-03,  3.434655e+02, -3.434655e+02,  8.016499e-10
254,  2.540000e-03,  3.447796e+02, -3.447796e+02,  8.124338e-10
255,  2.550000e-03,  3.460932e+02, -3.460932e+02,  8.234571e-10
256,  2.560000e-03,  3.474063e+02, -3.474063e+02,  8.345268e-10
257,  2.570000e-03,  3.487189e+02, -3.487189e+02,  8.456231e-10
258,  2.580000e-03,  3.500309e+02, -3.500309e+02,  8.568944e-10
259,  2.590000e-03,  3.513424e+02, -3.513424e+02,  8.683028e-10
260,  2.600000e-03,  3.526534e+02, -3.526534e+02,  8.796179e-10
261,  2.610000e-03,  3.539638e+02, -3.539638e+02,  8.911980e-10
262,  2.620000e-03,  3.552737e+02, -3.552737e+02,  9.026631e-10
263,  2.630000e-03,  3.565831e+02, -3.565831e+02,  9.147261e-10
264,  2.640000e-03,  3.578919e+02, -3.578919e+02,  9.263442e-10
265,  2.650000e-03,  3.592002e+02, -3.592002e+02,  9.382699e-10
266,  2.660000e-03,  3.605079e+02, -3.605079e+02,  9.503667e-10
267,  2.670000e-03,  3.618151e+02, -3.618151e+02,  9.626695e-10
268,  2.680000e-03,  3.631218e+02, -3.631218e+02,  9.747068e-10
269,  2.690000e-03,  3.644279e+02, -3.644279e+02,  9.870735e-10
270,  2.700000e-03,  3.657334e+02, -3.657334e+02,  9.994692e-10
271,  2.710000e-03,  3.670384e+02, -3.670384e+02,  1.011891e-09
272,  2.720000e-03,  3.683428e+02, -3.683428e+02,  1.024723e-09
273,  2.730000e-03,  3.696467e+02, -3.696467e+02,  1.037409e-09
274,  2.740000e-03,  3.709500e+02, -3.709500e+02,  1.050231e-09
